Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted_Performance_Index
8,85,1,6,3,79.39456673537148
6,88,0,6,5,76.52850263844115
3,90,1,5,6,70.28751313148106
4,78,0,7,7,61.50831062596654
1,47,0,9,0,20.955554711126148
4,49,0,8,5,32.07646182140822
2,46,0,5,0,20.853475699840075
1,92,1,6,8,67.48357841525936
6,76,1,6,4,64.70845272559248
4,66,0,4,0,46.44932908848494
4,96,1,7,7,80.42662743506321
2,66,1,5,0,41.807835391645575
6,81,1,8,5,70.96872332836904
8,66,0,6,8,60.44684589148577
7,42,0,5,7,32.46956560086995
8,67,1,5,3,60.583960833646394
4,69,0,5,7,51.37367773908543
8,93,0,9,0,87.81029682958737
7,68,0,9,6,60.68527942415438
9,52,0,5,9,48.7668714959426
1,42,1,6,3,15.5938889409735
6,41,0,9,8,30.733325210760277
8,77,1,5,2,70.56645176587742
9,71,0,5,7,67.71383191905022
4,52,0,9,5,35.61674610281717
2,98,0,8,0,75.24925052230651
1,67,1,8,0,41.423694445585944
6,99,0,6,4,87.52901501202658
1,96,0,7,1,70.06388890411387
1,96,1,5,6,70.67399726070514
1,87,0,6,6,61.404093381143845
1,59,1,7,9,34.57281428922264
8,52,0,7,1,45.296701300678215
3,86,0,4,8,65.53072350662654
2,83,1,4,5,59.6165973438902
1,53,1,7,5,27.673791715843876
2,91,1,7,7,69.61487570938877
7,49,0,9,1,40.35425463185522
7,64,1,6,7,55.94618813272999
3,89,1,9,2,70.4234775942572
8,81,0,5,2,74.04460666657775
7,65,0,5,9,56.279505714647534
6,75,0,7,7,64.1758908208057
5,55,1,6,8,41.26007412295099
7,87,0,8,6,79.54146685254247
5,99,0,6,3,84.47046927126232
1,46,0,6,6,19.665214285613054
5,90,0,8,2,76.08299273245098
4,40,1,8,4,23.310476232622776
4,74,0,7,3,56.64533093529659
8,62,0,9,9,58.031143479418354
1,46,1,6,4,19.863698187704216
2,91,1,8,0,68.71703129754297
8,75,1,7,4,69.89829576048618
2,59,0,5,6,35.27409532532587
9,63,1,8,1,60.435910237090944
5,88,0,7,3,73.75845337370953
6,78,1,5,1,65.66510520701635
2,77,0,7,9,55.16409162833589
5,76,1,6,5,62.04535394745435
5,51,1,7,1,36.290143945687525
9,56,0,4,4,51.364119897449136
5,46,0,4,6,30.136063408726407
2,77,1,6,9,55.27180253570749
6,42,0,6,8,30.29268678007754
5,70,1,9,0,56.40726776479966
4,82,1,7,4,65.58115681216225
6,68,0,6,3,55.77262684872681
6,93,0,6,2,81.02543940127399
5,81,1,4,0,65.17440383296957
4,78,0,9,6,62.283027059344896
3,93,0,8,4,73.81085950023797
4,92,0,4,5,73.90650397026496
8,76,1,5,4,69.94387728714915
7,91,0,9,9,84.69294301924504
2,74,0,5,2,49.7535230203897
5,48,0,5,5,32.46060276746787
3,58,0,7,0,36.902995170235606
8,75,0,9,8,71.06769873571261
1,46,0,9,8,21.519321120276352
8,99,1,8,9,95.80564771690308
7,51,1,4,8,41.93719296174431
6,58,1,4,2,45.01617990389551
7,41,1,6,6,32.3339715002655
7,69,1,6,9,61.43174230212819
1,81,0,4,6,54.32352481832596
8,44,0,8,0,37.441026245875584
2,60,0,8,9,38.34394708265665
8,59,1,7,9,54.59857010538099
7,47,0,5,5,37.16422584501586
8,51,0,8,4,45.35807026060876
1,60,1,4,3,32.94583497066143
4,69,1,7,6,52.74232503718108
6,66,1,8,8,56.29157215199212
2,65,1,9,1,42.9324172609871
7,65,1,9,6,58.22514596480847
3,75,1,9,3,56.368900896608544
2,79,0,6,3,55.52757366582053
2,98,1,6,3,75.46391191627163
7,89,0,5,1,79.13023245664874
1,50,1,7,6,24.817450873093726
9,41,1,8,1,38.03943852729393
8,40,1,6,7,34.37449579967535
9,83,0,9,7,81.874969044686
4,93,1,4,0,74.52983886977131
2,69,0,8,0,45.72662872302865
2,74,0,5,1,49.555799539076624
5,97,1,7,3,83.51457721061652
5,45,0,5,6,29.60426192471771
9,82,0,7,3,79.09361376338785
9,43,1,8,8,41.45954577919429
8,84,0,5,8,78.28501187851944
4,49,1,7,0,31.19555532221444
3,84,1,4,6,63.69316452600888
6,85,0,4,3,72.10655143706035
6,60,1,6,8,49.21100358917423
7,49,0,6,6,39.884212166383456
1,95,1,8,1,70.12601828482249
2,78,1,8,4,56.273646485187946
1,93,0,6,2,66.721328104018
3,80,0,7,7,60.68353124922415
9,43,1,9,8,41.945765736540004
4,90,0,8,0,72.82672351037363
5,91,1,7,7,78.19734248774236
9,78,1,8,3,76.10167882003324
3,47,1,4,7,26.224094677208818
9,67,0,4,4,62.562355752347635
8,94,1,5,7,88.86143367546777
8,73,0,4,9,66.79827954758827
2,65,1,7,4,42.553147790234895
8,76,0,9,3,71.09710277050164
8,53,1,6,3,46.81788061203037
9,56,0,4,3,51.16639641613606
7,79,0,9,0,70.69717439117443
5,58,0,6,3,42.73159017573152
9,76,1,8,1,73.67018897469828
5,41,0,7,2,25.7137221487392
2,49,0,6,3,24.98693042518825
6,74,0,8,9,64.03953629942316
7,63,0,6,1,53.14789493877981
9,56,1,5,4,52.44427071951217
2,79,0,8,5,56.89546054313812
6,41,1,4,7,28.69843280743595
4,45,0,5,4,26.34799270264036
4,60,1,8,2,43.275458097084815
1,94,1,4,7,68.34945790196366
1,68,0,6,8,42.45713295803622
6,46,0,6,2,33.17843165761672
3,72,1,9,2,53.11711309123225
6,87,0,7,1,75.20580722918015
2,92,1,5,9,70.05590419867792
2,63,1,6,7,40.6240553941196
4,65,0,4,4,46.222201572382836
1,86,0,5,4,59.504405019817575
7,99,1,8,8,92.74710197613882
4,41,0,7,4,23.248346851914157
3,60,1,8,1,40.21691235632054
3,53,0,6,5,32.31528541268323
1,81,1,6,7,56.087619079047776
2,83,1,9,1,61.256803205366474
8,58,0,6,6,51.90722739802434
5,84,1,6,8,70.78269592222887
2,52,1,8,9,30.793706416538676
3,61,0,6,6,40.65718042483159
3,95,0,6,1,74.28129202431614
7,83,1,5,6,74.60465207980499
1,99,0,9,7,75.27673403074698
9,74,1,7,9,72.72971398514835
1,53,1,9,5,28.646231630535304
6,52,1,7,5,40.959881571745434
6,86,0,7,2,74.38550926913882
1,53,0,5,0,25.118803529869744
2,90,0,8,1,67.30280247278432
9,75,1,6,7,72.8660685065309
6,40,1,4,9,28.07585832870769
2,92,1,7,4,70.03972670680395
8,50,1,4,5,43.186823335901856
3,66,0,8,8,47.11517450892122
9,61,1,9,9,60.46787516223245
9,85,1,7,6,83.33477939610762
9,88,1,8,5,86.67734019620349
2,85,1,9,1,63.29284608807529
8,49,0,5,6,42.25881446848894
8,63,1,5,0,55.918704624289525
4,48,1,9,6,32.33631468342991
4,56,1,5,1,37.54698897831695
6,77,0,6,4,65.13254330222958
6,79,0,8,3,67.94330261831675
6,76,1,5,7,64.815403212186
7,45,0,8,4,36.3891193530311
9,60,1,9,7,59.05440675825189
3,75,0,8,1,54.89330311191937
4,75,0,9,9,59.82213317922089
8,64,0,5,7,57.72685957011817
7,50,0,7,7,41.58617704639665
3,84,0,6,6,64.071673575983
3,87,1,8,5,68.49438519814191
1,96,0,7,5,70.85478282936617
4,75,1,9,7,60.02061708131205
4,42,1,7,0,24.06940523273358
2,48,0,7,1,24.059681978553407
4,47,0,6,0,28.079361617442594
6,77,1,8,9,67.68753148820369
7,43,1,9,2,35.03778032975915
5,81,1,5,3,66.25379423425454
5,43,0,7,9,29.133829400639556
8,83,0,9,5,78.61869982260865
9,43,0,4,4,38.12984115984181
8,48,1,4,0,40.16216304662766
4,51,1,9,0,34.20403811961469
7,94,0,9,1,86.16521949280366
4,47,1,8,9,31.425243728669024
4,59,1,8,2,42.25743665573041
9,78,1,6,7,75.92013283059413
5,74,1,6,5,60.00931106474554
1,88,1,4,5,61.84588229121105
8,96,1,5,9,91.29292352080273
4,98,1,9,6,83.23738675115038
2,95,0,4,2,70.64575333148659
9,46,1,4,2,41.3823893859962
5,70,0,4,4,54.17313103860608
4,57,1,9,4,41.103060692993445
7,53,0,6,8,44.35174489442725
3,78,1,6,9,59.15064623651309
5,98,1,8,7,85.80971253456894
3,76,1,9,8,58.37553974452833
5,48,0,9,3,34.01003563422457
8,59,0,4,9,52.54597936862654
9,96,0,6,8,93.84831139156924
2,67,1,7,2,44.19374371031757
7,92,0,9,1,84.12917661009485
6,66,1,6,3,54.330514830735304
4,47,0,8,6,30.238142420012473
7,96,1,7,2,88.0204768068514
8,71,0,9,6,66.6001660076688
5,48,1,7,7,34.422420509502764
6,69,0,9,7,59.04020208737068
7,40,1,4,8,30.73895710684581
1,44,0,8,6,18.601611317595662
8,74,1,5,6,68.30328136706649
8,53,0,7,5,47.10561666728493
4,69,0,4,0,49.50339341254817
1,43,0,9,0,16.883468945708515
1,46,1,5,5,19.575201711671575
9,52,1,7,6,49.7400718314121
9,43,1,6,8,40.48710586450286
9,82,0,6,5,79.00284076866828
2,75,0,6,0,50.862317456463664
3,47,0,9,2,27.072646192654695
6,71,0,7,9,60.49925201801421
2,81,0,7,2,57.852113024561994
7,65,0,8,0,55.95865425486699
5,81,1,5,1,65.85834727162839
3,86,1,6,9,67.29481776734838
9,57,1,8,7,55.51412247684295
3,97,0,7,9,78.38534271487526
5,83,1,7,0,68.66910658771556
8,96,0,9,5,91.85297856021597
6,40,1,6,2,27.664233874207582
5,87,1,9,5,74.70224967439
4,67,0,7,3,49.51918084581572
6,44,1,5,6,32.04099360753181
4,40,1,6,6,22.7334832805575
4,97,1,8,0,80.5468044645718
2,92,0,4,1,67.39396552611026
9,92,1,7,3,89.86775904164926
7,94,0,5,5,85.0112335886731
7,65,1,7,0,56.066365162238576
8,46,0,9,5,40.9519064924955
8,94,1,6,4,88.75448318887425
4,91,0,9,7,75.71502927826529
7,65,0,5,8,56.08178223333446
4,53,1,5,4,35.08609509819295
7,47,0,8,5,38.622885717053
1,67,0,4,6,40.071224639364225
1,96,0,8,7,71.73644974933805
6,58,1,4,8,46.20252079177397
3,71,1,4,5,50.261162307088476
2,62,1,9,4,40.4715233808631
1,56,0,6,2,29.05453477390484
3,77,0,5,4,56.06385656653028
4,61,1,7,5,44.400430025032726
7,87,0,7,8,79.4506938578229
8,90,1,7,2,84.77317041817616
1,52,1,7,0,25.667152867924088
9,91,1,7,1,88.45429063766869
6,62,1,9,2,51.51936545604173
7,51,1,5,0,40.84162506858542
2,57,0,6,2,32.933378474710445
6,97,0,9,3,86.75390852004185
2,53,0,5,2,28.375072751947094
6,97,1,9,7,88.13873331001145
9,77,0,9,0,74.38277602736801
9,97,1,4,0,92.90603593244492
7,96,1,9,1,88.79519324022976
8,91,1,7,2,85.79119185953056
7,71,0,9,4,63.34389678559146
9,96,0,6,9,94.0460348728823
4,73,1,4,3,54.76258048662235
6,53,0,9,2,41.76324161913474
2,83,1,4,1,58.82570341863789
8,56,0,9,3,50.73667394341344
5,54,1,9,9,41.898436034946805
2,71,1,8,8,49.93839032095938
4,52,1,5,1,33.474903212899314
1,60,1,7,8,35.39311224926396
2,79,1,7,9,57.79406537576201
9,96,1,8,9,95.61240565229105
9,55,0,7,7,52.397928772071104
7,70,1,9,6,63.315253171580515
6,75,1,4,1,62.1248209256074
6,99,1,6,4,88.1229458767439
7,84,0,7,0,74.81484168325505
3,51,1,7,6,31.557116833350527
2,95,1,9,7,74.65940138949784
4,43,0,7,1,24.691219290683748
9,67,1,7,1,64.02177604516285
4,81,0,7,5,64.1669279874036
3,49,0,9,5,29.701859519302744
2,80,1,7,2,57.42802244792488
9,88,0,5,6,84.82247294076211
3,41,0,6,5,20.09902811643032
3,67,0,4,3,45.199698714327376
1,92,1,4,6,66.11569153794176
4,50,0,5,6,31.83354687203856
6,98,0,8,2,87.08798652273745
7,41,1,6,8,32.72941846289165
4,80,1,9,8,65.30844776939716
7,73,1,4,2,63.14732378366285
5,92,1,4,6,77.55898057574655
7,61,0,5,0,50.42790861741221
5,62,1,6,1,47.002159843240314
6,58,1,8,1,46.763336251965306
5,87,1,6,3,72.8481428397267
5,71,1,4,5,55.98280682599087
4,86,0,7,3,68.86158823154952
5,78,1,7,4,64.36989330619582
4,96,1,8,0,79.52878302321741
7,74,1,5,2,64.65156518236299
6,53,0,5,6,40.60925571500419
9,78,0,7,4,75.21925147928329
5,87,1,6,7,73.63903676497901
8,98,1,5,9,93.32896640351154
1,48,1,7,3,22.188237546445677
8,56,0,4,5,48.701021119311015
7,56,0,8,4,47.58735520792961
8,98,0,4,9,92.24881558144853
4,77,1,9,7,62.056659964020874
7,85,0,8,8,77.90087093245978
3,69,0,4,2,47.038018115723126
5,66,1,4,7,51.28814658184498
2,55,1,6,5,32.08443690065817
1,62,1,7,3,36.4405377254074
9,61,0,4,8,57.24512102947349
2,66,0,4,3,41.32085501352177
5,41,0,4,8,25.441403164580514
2,65,0,7,2,41.563769962891435
6,67,1,5,2,54.66459283343092
5,58,1,7,2,43.61401751648146
2,59,0,7,5,36.04881175870421
7,69,0,5,3,59.165250592186716
4,42,0,6,0,22.989254410670547
4,85,0,5,3,66.87112687550368
1,78,0,8,0,52.027999435767136
9,67,1,7,4,64.6149464891021
2,90,0,6,0,66.13263907677981
5,96,0,7,7,82.69351882979711
6,59,1,7,9,48.8769255864786
5,73,1,7,5,59.47750958073684
4,97,0,7,7,80.85071801170031
8,73,0,4,1,65.21649169708365
7,92,0,6,4,83.26368718199691
8,59,0,9,0,53.19756782353743
5,94,1,8,9,82.13307373177747
7,58,0,8,6,50.01884505326458
2,84,1,8,0,61.59088120806209
6,43,1,6,8,31.904639086149267
2,94,1,5,2,70.70788271219519
8,86,1,8,8,82.3736454979827
3,72,0,6,5,51.657692798417024
5,41,1,9,6,28.07098685340025
4,81,0,7,9,64.9578219126559
4,64,1,9,8,49.020104707726624
6,54,1,8,7,43.877591374426125
3,63,0,6,1,41.70460590097503
6,70,0,7,7,59.08578361403365
7,45,1,7,2,36.10138329777653
4,57,1,7,2,39.73517381567586
4,90,1,9,8,75.48866218294125
7,55,1,7,1,46.08387423000756
4,66,0,8,0,48.39420891786781
8,85,0,6,9,79.98697675853262
2,49,0,4,8,25.003107917062202
5,62,0,6,9,47.99001682902762
4,52,0,4,1,32.39475239083628
2,61,1,9,9,40.44211934607407
9,62,1,7,5,59.72256276364312
1,74,0,4,1,46.2087573222797
1,42,1,9,7,17.84344273826295
6,41,1,6,0,28.286808352935843
1,88,0,5,9,62.52906530909177
3,71,1,5,9,51.538276189686506
5,72,0,7,0,56.87693986809975
5,55,1,4,9,40.48535768957263
4,95,1,9,5,79.98559894577409
3,95,1,4,9,75.48457082484663
1,41,1,8,8,16.536924820875903
8,53,0,8,2,46.99866618069142
4,95,0,9,6,79.58939156236985
9,94,1,7,5,92.29924888698423
7,69,1,5,8,60.747798863469406
6,59,1,4,5,46.62737178918915
6,95,0,6,9,84.44554665317432
9,70,1,8,2,67.7597838078849
8,46,0,9,0,39.96328908593012
4,94,1,8,3,78.08591058444782
7,52,0,4,4,41.5703896131291
7,89,1,4,5,80.02883728927264
8,95,1,9,6,91.62661146489194
5,91,0,9,4,77.98268109377727
5,43,1,7,0,27.948248933539183
7,54,1,7,1,45.06585278865314
3,91,1,8,5,72.56647096355954
9,47,0,5,2,42.29269991997902
2,93,0,6,4,69.97759732609535
7,48,0,9,1,39.33623319050081
6,96,1,5,9,85.57127900190034
7,74,1,8,7,67.09884246096553
1,91,0,6,1,64.4875617399961
7,58,1,6,4,49.2448890406643
6,87,1,6,1,75.31351813655175
6,91,0,6,2,78.98939651856514
1,40,0,9,6,15.01574550952374
6,90,0,5,4,77.88060208249118
4,79,0,4,4,60.47450175134457
2,93,1,4,2,69.20364131349507
3,43,1,5,5,22.242781906510736
9,57,0,7,9,54.82941861740607
2,60,0,8,2,36.95988271346511
5,40,0,4,5,23.83021127928688
3,75,0,6,5,54.71175712248024
8,47,0,4,9,40.329722072373634
8,66,0,6,9,60.64456937279885
2,58,0,6,9,35.3354642852564
8,91,0,7,1,84.99953751350017
5,80,1,5,6,65.82894323683936
4,50,1,7,3,32.806747207508074
7,60,0,7,8,51.96411494125383
6,46,1,9,5,35.82419283831042
3,62,0,5,6,41.18898190884028
9,76,1,8,1,73.67018897469828
2,72,1,8,4,50.16551783706149
9,54,1,5,7,51.00139828074257
2,42,1,9,4,20.11109455377492
8,92,0,6,7,86.71767988538735
6,41,0,8,8,30.247105253414567
3,80,1,7,0,59.893397744749926
3,40,1,9,9,21.924491337082678
9,47,1,7,1,43.661347218074674
6,86,1,7,9,76.36350450304766
5,74,1,7,1,59.704637096838944
1,99,0,7,3,73.51340019080325
4,84,0,5,3,65.85310543414926
2,83,0,7,6,60.67904983252311
4,83,1,5,4,65.62673833882525
7,83,1,9,5,76.35180842787477
6,45,0,4,5,31.781140745510122
5,64,0,6,5,49.23516578648414
3,70,1,8,3,50.79257373249079
7,80,1,9,5,73.29774410381154
9,41,1,5,7,37.767119543135244
2,60,1,9,4,38.435480498154284
6,92,1,9,7,83.0486261032394
7,83,1,4,2,73.32753819720696
8,73,1,4,6,66.79903996836634
6,99,1,5,3,87.43900243808511
4,48,0,4,7,29.509007513297107
3,95,1,5,4,74.98217337562696
3,69,1,4,1,47.43422549912736
4,61,0,6,0,42.331661796404326
9,50,0,7,8,47.50554504661212
6,52,1,8,9,42.236995454343464
3,55,0,9,4,35.61226468611613
3,40,1,8,0,19.658760047919273
9,50,1,7,5,47.5063054673902
7,83,1,9,8,76.94497887181399
3,80,0,5,9,60.106538297158885
3,67,1,9,0,47.631558921834035
8,81,1,9,3,76.78114084199098
9,40,1,8,9,38.603204936444136
9,67,0,4,9,63.55097315891302
7,97,1,7,9,90.42256261739738
2,94,0,8,0,71.17716475688889
5,56,0,9,5,42.549654127686004
5,65,1,9,9,53.096671889845304
5,59,1,9,0,45.209031909901164
5,52,0,7,9,38.296022372829235
9,45,0,5,8,41.44299792514865
1,62,0,7,1,35.45115989806394
6,41,1,8,4,30.05014219287957
4,56,1,7,3,38.91487585563453
6,71,0,8,6,60.392301531420706
2,42,0,7,9,19.533341180931558
9,41,1,5,5,37.37167258050909
8,80,1,4,5,73.72746657653414
7,57,1,7,7,49.30625800059483
6,83,1,6,3,71.63687933376028
2,65,0,9,9,43.920274246774405
6,51,1,4,0,37.4945828517885
9,60,1,9,3,58.26351283299959
1,87,1,4,4,60.630137368543565
1,47,1,8,8,22.645053469002356
1,62,0,8,9,37.51916770591428
